fecha_incio,fecha_fin,hora_inicio,hora_fin,unidad_de_negocio,canton
9/18/2024,9/18/2024,22:00,0:00,BOLIVAR,CALUMA
9/19/2024,9/19/2024,0:00,4:00,BOLIVAR,GUARANDA
9/19/2024,9/19/2024,0:00,4:00,BOLIVAR,GUARANDA
9/19/2024,9/19/2024,0:00,4:00,BOLIVAR,SAN MIGUEL
9/19/2024,9/19/2024,0:00,4:00,BOLIVAR,CHIMBO
9/19/2024,9/19/2024,3:00,5:00,BOLIVAR,ECHEANDÍA
9/19/2024,9/19/2024,3:00,5:00,BOLIVAR,CHILLANES
9/19/2024,9/19/2024,4:00,6:00,BOLIVAR,SAN MIGUEL
9/19/2024,9/19/2024,4:00,6:00,BOLIVAR,LAS NAVES
9/19/2024,9/19/2024,4:00,5:00,BOLIVAR,ECHEANDÍA
9/19/2024,9/19/2024,3:00,6:00,LOS RÍOS,BABAHOYO
9/19/2024,9/19/2024,3:00,6:00,LOS RÍOS,BABA
9/19/2024,9/19/2024,3:00,6:00,LOS RÍOS,PUEBLOVIEJO
9/19/2024,9/19/2024,3:00,6:00,LOS RÍOS,VENTANAS
9/19/2024,9/19/2024,3:00,6:00,LOS RÍOS,VINCES
9/19/2024,9/19/2024,3:00,6:00,LOS RÍOS,PALENQUE
9/19/2024,9/19/2024,3:00,6:00,LOS RÍOS,MONTALVO
9/19/2024,9/19/2024,3:00,6:00,LOS RÍOS,URDANETA
9/19/2024,9/19/2024,3:00,6:00,LOS RÍOS,ALFREDO BAQUERIZO MORENO
9/19/2024,9/19/2024,3:00,6:00,LOS RÍOS,JUJAN
9/19/2024,9/19/2024,1:00,5:00,SANTO DOMINGO,SANTO DOMINGO
9/19/2024,9/19/2024,1:00,5:00,SANTO DOMINGO,LA CONCORDIA
9/19/2024,9/19/2024,1:00,5:00,SANTO DOMINGO,PUERTO QUITO
9/19/2024,9/19/2024,1:00,5:00,SANTO DOMINGO,EL CARMEN
9/19/2024,9/19/2024,1:00,5:00,SANTO DOMINGO,QUININDÉ
9/19/2024,9/19/2024,1:00,5:00,SANTO DOMINGO,BUENA FÉ
9/19/2024,9/19/2024,3:00,6:00,SANTA ELENA,SANTA ELENA
9/19/2024,9/19/2024,3:00,6:00,SANTA ELENA,LA LIBERTAD
9/19/2024,9/19/2024,3:00,6:00,SANTA ELENA,SALINAS
9/18/2024,9/18/2024,22:00,0:00,MANABÍ,MANTA
9/19/2024,9/19/2024,0:00,3:00,MANABÍ,TOSAGUA
9/19/2024,9/19/2024,0:00,3:00,MANABÍ,JUNÍN
9/19/2024,9/19/2024,0:00,3:00,MANABÍ,BOLÍVAR
9/19/2024,9/19/2024,0:00,3:00,MANABÍ,CHONE
9/19/2024,9/19/2024,0:00,3:00,MANABÍ,SUCRE
9/19/2024,9/19/2024,0:00,3:00,MANABÍ,ROCAFUERTE
9/19/2024,9/19/2024,0:00,3:00,MANABÍ,PORTOVIEJO
9/19/2024,9/19/2024,3:00,6:00,MANABÍ,JARAMIJÓ
9/19/2024,9/19/2024,3:00,6:00,MANABÍ,MANTA
9/19/2024,9/19/2024,3:00,6:00,MANABÍ,TOSAGUA
9/19/2024,9/19/2024,3:00,6:00,MANABÍ,JUNÍN
9/19/2024,9/19/2024,3:00,6:00,MANABÍ,MONTECRISTI
9/18/2024,9/18/2024,22:00,2:00,SUCUMBÍOS,JOYA DE LOS SACHAS
9/19/2024,9/19/2024,22:00,2:00,SUCUMBÍOS,JOYA DE LOS SACHAS
9/18/2024,9/18/2024,22:00,4:00,SUCUMBÍOS,LORETO
9/19/2024,9/19/2024,22:00,4:00,SUCUMBÍOS,LORETO
9/19/2024,9/19/2024,0:00,4:00,SUCUMBÍOS,SHUSHUFINDI
9/19/2024,9/19/2024,0:00,4:00,SUCUMBÍOS,LAGO AGRIO
9/19/2024,9/19/2024,2:00,5:00,SUCUMBÍOS,FRANCISCO DE ORELLANA
9/19/2024,9/19/2024,2:00,6:00,SUCUMBÍOS,LAGO AGRIO
9/19/2024,9/19/2024,4:00,6:00,SUCUMBÍOS,SHUSHUFINDI
9/18/2024,9/18/2024,22:00,0:00,EL ORO,PORTOVELO
9/18/2024,9/18/2024,22:00,0:00,EL ORO,ZARUMA
9/18/2024,9/18/2024,22:00,0:00,EL ORO,PIÑAS
9/18/2024,9/18/2024,22:00,0:00,EL ORO,ATAHUALPA
9/19/2024,9/19/2024,0:00,2:00,EL ORO,PORTOVELO
9/19/2024,9/19/2024,0:00,2:00,EL ORO,ZARUMA
9/19/2024,9/19/2024,0:00,3:00,EL ORO,EL GUABO
9/19/2024,9/19/2024,0:00,3:00,EL ORO,MACHALA
9/19/2024,9/19/2024,0:00,3:00,EL ORO,CAMILO PONCE ENRIQUEZ
9/19/2024,9/19/2024,0:00,3:00,EL ORO,TENGUEL
9/19/2024,9/19/2024,2:00,4:00,EL ORO,MACHALA
9/19/2024,9/19/2024,2:00,4:00,EL ORO,PASAJE
9/19/2024,9/19/2024,3:00,4:00,EL ORO,MACHALA
9/19/2024,9/19/2024,3:00,5:00,EL ORO,MACHALA
9/19/2024,9/19/2024,3:00,5:00,EL ORO,SANTA ROSA
9/19/2024,9/19/2024,3:00,5:00,EL ORO,HUAQUILLAS
9/19/2024,9/19/2024,3:00,5:00,EL ORO,ARENILLAS
9/19/2024,9/19/2024,3:00,5:00,EL ORO,LAS LAJAS
9/19/2024,9/19/2024,4:00,6:00,EL ORO,MACHALA
