Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Dic;General;Baja;Otros;Público;BTCGSD06 (BT / Abonados Especiales con Demanda);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,004;1,73;0;0;0;0;0;0;0;0;0;0;0;0
Dic;General;Baja;Otros;Público;BTCGSD10 (BT / Abonados Especiales con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dic;Alumbrado Público;Baja;Alumbrado Público;Público;BTAPCD01 (BT / Alumbrado Público);1;1658,74195;110489,79;1;8427,74618;753340,67;1;4221,134;337441,58;1;13680,09245;1240478,14;1;7824,34116;1328565,62;1;2769,37447;241578,85;1;11848,67063;676418,47;1;4168,99692;443023,26;1;3005,37267;526506,68;1;6348,864;674273,16;1;3267,2618;264845,76
Dic;General;Baja;Otros;Público;BTCGSD03 (BT / Asistencia Social);80;24,331;1215,52;164;90,3515;4962,93;115;50,96;2729,06;70;65,79616;6311,73;113;83,02;4599,95;73;38,91846;2118,52;324;180,94986;10114,74;59;28,17756;1525,43;40;24,35634;1322,77;126;79,26812;4293,9;127;55,591;3166,33
Dic;General;Baja;Otros;Público;BTCGCD03 (BT / Asistencia Social con Demanda);2;2,306;223,51;0;0;0;2;3,28;282,22;42;114,3392;9082,31;4;9,784;821,28;5;2,95074;331,32;4;11,187;971,56;10;15,60884;1490,11;0;0;0;0;0;0;3;2,266;183,92
Dic;General;Baja;Otros;Público;NDCGCD01 (BT / Asistencia Social con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;162,27508;12460,45
Dic;General;Baja;Otros;Público;BTCGCD04 (BT / Autoconsumo con Demanda);0;0;0;0;0;0;0;0;0;0;0;0;1;2;224,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dic;General;Baja;Otros;Público;BTCGSD04 (BT / Beneficio Público);520;46,21598;2742,87;859;238,11687;13030,25;834;142,52;7877,89;436;314,97062;29423,24;849;230,52307;12862,17;343;84,91078;4773,64;783;233,97918;13039,88;314;108,09652;5974,69;184;38,31808;1850,55;995;190,59416;10291,86;758;127,6992;7093,97
Dic;General;Baja;Otros;Público;BTCGCD05 (BT / Beneficio Público con Demanda);2;4,934;392,86;1;0,61914;68;5;4,1;519,42;57;107,1363;8895,1;2;3,402;330,9;9;14,57574;1343,75;10;12,9186;1221,54;18;42,454;3784,09;1;1,361;111,22;0;0;0;8;3,05516;466,1
Dic;General;Baja;Otros;Público;BTCGCD20 (BT / Beneficio Público con Demanda Horaria);0;0;0;1;1,27398;116,61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;85,88451;6726,81
Dic;General;Baja;Otros;Público;BTCGCD21 (BT / Bombeo de Agua Comunidades Campesinas);0;0;0;5;7,19712;291,39;2;3,7;149,44;0;0;0;30;33,613;1365,52;15;59,09908;2374,46;22;23,73864;964,95;10;16,89296;682,72;0;0;0;9;12,3794;501,47;67;43,74506;1796,7
Dic;General;Baja;Otros;Público;BTCGCD06 (BT / Bombeo de Agua con Demanda);7;3,12324;461,19;0;0;0;2;8,24;765,85;5;26,88866;2586,12;8;10,302;966,02;8;18,81062;2089,82;0;0;0;17;92,07968;8341,54;0;0;0;1;0,345;31,83;9;3,728;443,52
Dic;General;Baja;Otros;Público;BTCGCD34 (BT / Bombeo de Agua con Demanda Horaria);0;0;0;0;0;0;0;0;0;4;1,28;142,52;1;1,81;139,58;1;0;4,33;0;0;0;0;0;0;0;0;0;0;0;0;18;21,09718;2766,59
Dic;General;Baja;Otros;Público;BTCGSD14 (BT / Bombeo de Agua para Servicio Público de Agua);0;0;0;15;11,49642;757,96;3;1,72;112,58;42;26,11774;1730,04;4;1,731;114,6;9;18,61982;1207,8;1;0,294;18,46;0;0;0;14;20,98898;1376,33;17;11,97708;786,1;0;0;0
Dic;General;Baja;Otros;Público;BTCGCD40 (BT / Bombeo de Agua para Servicio Público de Agua con Demanda Horaria);0;0;0;5;4,585;286,06;0;0;0;14;72,36728;4756,93;0;0;0;0;0;0;1;2,708;266,75;0;0;0;0;0;0;0;0;0;80;611,96465;40768,97
Dic;General;Baja;Comercial;Público;BTCGSD01 (BT / Comercial);1;0,028;3,99;15;3,92212;403,71;198;123,42;12565,59;52;35,75822;3683,18;16;4,67098;481,75;20;8,198;832,97;75;46,519;4727,84;311;58,143;6128,51;1;1,1424;115,78;55;16,57268;1700,03;16;5,129;520,48
Dic;General;Baja;Comercial;Público;BTCGCD01 (BT / Comercial con Demanda);0;0;0;0;0;0;0;0;0;5;20,91974;2537,01;4;6,622;1442,54;3;9,58598;1208,91;0;0;0;2;11,661;1246,05;0;0;0;0;0;0;3;6,459;715,35
Dic;General;Baja;Comercial;Público;BTCGCD31 (BT / Comercial con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4,18302;478,34
Dic;General;Baja;Otros;Público;BTCGSD09 (BT / Culto Religioso);0;0;0;6;1,479;82,74;4;0,15;10,77;1;0;1,41;3;0,013;4,67;0;0;0;2;0,851;40,23;3;0,31;14,9;1;0,23705;9,82;1;0,33;14,1;8;0,247;19,72
Dic;General;Baja;Otros;Público;BTCGCD32 (BT / Culto Religioso con Demanda);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dic;General;Baja;Otros;Público;BTCGSD05 (BT / Entidades Oficiales);356;89,07764;8325,39;981;371,75271;34306,84;371;179,29;16559,19;1396;806,46878;74952,47;707;441,32351;40473,04;300;151,99262;13956,87;569;298,44228;27388,23;340;168,94472;15550,71;451;431,96129;39844,19;690;360,91494;33144,04;300;130,67016;12034,7
Dic;General;Baja;Otros;Público;BTCGCD07 (BT / Entidades Oficiales con Demanda);12;33,249;3679,86;1;4,00758;424,62;11;30,04;3204,11;315;621,95868;64942,2;31;95,418;10907,47;25;43,99612;5251,81;69;112,635;12707,08;67;203,73952;22169,26;6;11,146;1287,28;3;5,47204;569,75;29;21,58238;2762,22
Dic;General;Baja;Otros;Público;BTCGCD35 (BT / Entidades Oficiales con Demanda Horaria);0;0;0;0;0;0;0;0;0;2;1,714;212,75;0;0;0;0;0;0;7;64,07844;6112,1;0;0;0;0;0;0;0;0;0;217;721,3688;73715,01
Dic;General;Baja;Otros;Público;BTCGCD08 (BT / Escenarios Deportivos con Demanda);0;0;0;0;0;0;4;0,19;85,58;0;0;0;0;0;0;1;0,9894;106,95;0;0;0;0;0;0;0;0;0;0;0;0;13;4,872;621,04
Dic;General;Baja;Industrial;Público;BTCGSD02 (BT / Industrial Artesanal);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,3672;29,29;0;0;0;0;0;0
Dic;General;Baja;Industrial;Público;BTCGCD02 (BT / Industrial con Demanda);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dic;General;Baja;Industrial;Público;BTCGCD30 (BT / Industrial con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3,72096;442,07
