Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Feb;General;Baja;Otros;Público;BTCGSD06 (BT / Abonados Especiales con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;General;Baja;Otros;Público;BTCGSD10 (BT / Abonados Especiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;Alumbrado Público;Baja;Alumbrado Público;Público;BTAPCD01 (BT / Alumbrado Público);1;1.601,35;121.095,65;1;8.450,77;1.027.438,09;1;4.062,08;336.507,37;2;14.886,84;1.827.249,22;0;0,00;0,00;1;2.611,44;299.834,04;1;11.469,60;974.052,94;1;3.998,01;524.683,99;1;195,03;705.295,62;1;6.466,03;771.793,59;1;3.434,49;312.454,43
Feb;General;Baja;Otros;Público;BTCGSD03 (BT / Asistencia Social);83;32,78;1.702,46;165;122,68;6.925,59;115;73,51;4.108,47;65;75,67;7.384,94;0;0,00;0,00;60;46,48;2.621,81;163;168,10;9.711,39;57;30,15;1.662,38;39;43,37;2.517,98;127;115,14;6.520,15;128;69,60;4.037,41
Feb;General;Baja;Otros;Público;BTCGCD03 (BT / Asistencia Social con Demanda);2;2,97;266,55;0;0,00;0,00;2;3,74;312,18;40;124,27;9.595,84;0;0,00;0,00;4;4,88;439,79;4;20,93;1.645,10;10;31,46;2.568,16;0;0,00;0,00;0;0,00;0,00;3;2,23;181,83
Feb;General;Baja;Otros;Público;NDCGCD01 (BT / Asistencia Social con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;51;216,15;15.920,38
Feb;General;Baja;Otros;Público;BTCGCD04 (BT / Autoconsumo con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;General;Baja;Otros;Público;BTCGSD04 (BT / Beneficio Público);518;53,48;3.203,08;861;216,87;11.894,09;838;145,02;8.110,65;434;320,55;30.030,25;0;0,00;0,00;245;46,20;2.605,54;557;173,58;9.795,73;311;90,89;5.074,44;194;95,41;5.413,10;991;208,89;11.524,08;763;147,87;8.378,20
Feb;General;Baja;Otros;Público;BTCGCD05 (BT / Beneficio Público con Demanda);2;3,37;307,49;1;0,42;139,13;5;10,72;972,51;57;89,20;7.700,52;0;0,00;0,00;7;8,79;893,95;10;17,64;1.515,73;19;53,47;4.504,85;1;1,90;137,56;0;0,00;0,00;9;5,14;599,67
Feb;General;Baja;Otros;Público;BTCGCD20 (BT / Beneficio Público con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;36;102,97;8.055,91
