Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Jlo;General;Baja;Otros;Público;BTCGSD06 (BT / Abonados Especiales con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Jlo;General;Baja;Otros;Público;BTCGSD10 (BT / Abonados Especiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Jlo;Alumbrado Público;Baja;Alumbrado Público;Público;BTAPCD01 (BT / Alumbrado Público);1;1.717,01;123.413,49;1;8.415,24;895.728,15;1;4.290,82;271.730,01;1;16.038,89;1.539.865,46;1;8.556,30;1.690.734,95;1;2.809,86;277.388,69;0;0,00;0,00;1;4.481,19;558.610,05;1;3.028,04;547.371,94;1;7.031,25;811.762,93;1;3.506,72;298.929,53
Jlo;General;Baja;Otros;Público;BTCGSD03 (BT / Asistencia Social);80;38,83;2.050,91;165;125,66;7.117,10;116;59,06;3.222,90;68;80,03;7.785,83;115;129,12;7.486,76;72;48,51;2.699,73;0;0,00;0,00;58;49,94;2.878,33;40;33,82;1.914,24;127;109,31;6.160,36;128;63,66;3.673,57
Jlo;General;Baja;Otros;Público;BTCGCD03 (BT / Asistencia Social con Demanda);2;4,77;383,54;0;0,00;0,00;2;4,29;347,81;41;146,62;11.024,83;4;12,88;1.022,71;5;5,00;459,49;0;0,00;0,00;10;29,45;2.400,89;0;0,00;0,00;0;0,00;0,00;3;2,16;176,96
Jlo;General;Baja;Otros;Público;NDCGCD01 (BT / Asistencia Social con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;51;174,40;12.899,64
Jlo;General;Baja;Otros;Público;BTCGCD04 (BT / Autoconsumo con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;3,32;330,24;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Jlo;General;Baja;Otros;Público;BTCGSD04 (BT / Beneficio Público);519;53,36;3.140,28;855;309,85;17.272,82;835;180,40;10.134,56;438;440,52;42.411,84;847;301,80;17.169,41;340;109,24;6.310,22;0;0,00;0,00;312;125,97;7.058,94;193;87,14;4.814,03;996;276,77;15.381,64;760;116,84;6.638,76
Jlo;General;Baja;Otros;Público;BTCGCD05 (BT / Beneficio Público con Demanda);2;3,43;290,59;1;0,94;166,46;5;9,12;851,24;57;138,77;11.092,32;2;5,30;451,78;9;15,31;1.396,53;0;0,00;0,00;19;76,77;6.123,21;1;1,87;122,70;0;0,00;0,00;8;2,61;433,80
Jlo;General;Baja;Otros;Público;BTCGCD20 (BT / Beneficio Público con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;36;70,25;5.572,05
