Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Mzo;General;Baja;Otros;Público;BTCGSD06 (BT / Abonados Especiales con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGSD10 (BT / Abonados Especiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;Alumbrado Público;Baja;Alumbrado Público;Público;BTAPCD01 (BT / Alumbrado Público);1;1.715,27;123.412,77;1;8.192,82;1.033.725,83;1;4.398,04;369.541,36;1;16.400,52;1.885.825,10;1;23.905,61;1.980.288,60;0;0,00;0,00;1;12.081,26;1.061.148,57;1;4.268,52;524.871,38;1;215,42;723.255,10;1;7.038,80;830.794,11;1;3.226,72;320.870,62
Mzo;General;Baja;Otros;Público;BTCGSD03 (BT / Asistencia Social);81;41,42;2.221,98;166;133,60;7.611,08;115;67,17;3.724,18;68;71,21;6.900,45;115;127,11;7.372,65;0;0,00;0,00;163;182,75;10.627,36;57;33,51;1.870,53;40;48,95;2.869,92;127;131,87;7.601,70;128;73,31;4.260,15
Mzo;General;Baja;Otros;Público;BTCGCD03 (BT / Asistencia Social con Demanda);2;3,68;312,95;0;0,00;0,00;2;4,28;347,03;40;143,78;10.769,55;4;13,98;1.120,75;0;0,00;0,00;4;23,00;1.770,39;10;28,78;2.409,16;0;0,00;0,00;0;0,00;0,00;3;2,50;199,32
Mzo;General;Baja;Otros;Público;NDCGCD01 (BT / Asistencia Social con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;51;220,00;16.109,09
Mzo;General;Baja;Otros;Público;BTCGCD04 (BT / Autoconsumo con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;7,56;669,44;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGSD04 (BT / Beneficio Público);517;49,72;2.966,02;859;211,17;11.551,84;838;151,49;8.504,82;434;352,44;33.314,23;844;254,94;14.504,77;0;0,00;0,00;560;145,90;8.240,98;310;104,13;5.886,94;195;100,00;5.678,32;988;191,19;10.525,79;762;149,65;8.445,16
Mzo;General;Baja;Otros;Público;BTCGCD05 (BT / Beneficio Público con Demanda);2;5,54;432,09;1;0,36;135,06;5;8,68;841,12;57;108,55;8.748,53;2;5,28;452,54;0;0,00;0,00;10;14,08;1.295,11;19;56,31;4.704,79;1;1,87;134,50;0;0,00;0,00;9;4,94;586,99
Mzo;General;Baja;Otros;Público;BTCGCD20 (BT / Beneficio Público con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;36;103,49;8.011,23
