Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
May;General;Baja;Otros;Público;BTCGSD06 (BT / Abonados Especiales con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
May;General;Baja;Otros;Público;BTCGSD10 (BT / Abonados Especiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
May;Alumbrado Público;Baja;Alumbrado Público;Público;BTAPCD01 (BT / Alumbrado Público);1;1.707,67;121.279,16;1;8.268,88;1.050.164,06;1;4.450,01;360.817,55;1;15.471,93;1.865.284,55;1;8.222,78;2.047.799,45;1;2.768,32;307.658,48;1;12.075,01;900.375,91;1;4.461,27;587.153,50;1;4.175,97;680.685,89;1;7.111,95;809.190,47;1;3.402,87;308.450,68
May;General;Baja;Otros;Público;BTCGSD03 (BT / Asistencia Social);81;38,48;2.066,19;166;128,98;7.353,41;115;68,13;3.787,48;67;83,34;8.134,32;115;139,20;8.124,17;71;50,89;2.866,49;164;161,87;9.307,81;57;33,90;1.890,68;40;47,05;2.749,29;127;124,95;7.153,99;128;64,86;3.738,56
May;General;Baja;Otros;Público;BTCGCD03 (BT / Asistencia Social con Demanda);2;3,19;280,65;0;0,00;0,00;2;4,17;339,55;42;150,40;11.303,90;4;13,49;1.091,01;5;5,34;483,67;4;21,96;1.687,91;10;30,89;2.530,90;0;0,00;0,00;0;0,00;0,00;3;2,34;188,60
May;General;Baja;Otros;Público;NDCGCD01 (BT / Asistencia Social con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;51;205,50;15.215,96
May;General;Baja;Otros;Público;BTCGCD04 (BT / Autoconsumo con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;3,24;333,42;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
May;General;Baja;Otros;Público;BTCGSD04 (BT / Beneficio Público);517;47,43;2.799,82;856;215,38;11.817,56;838;177,58;9.992,77;431;308,11;28.713,34;838;225,23;12.754,10;338;70,84;4.040,65;556;247,38;14.214,49;310;95,34;5.286,97;194;79,96;4.521,91;988;192,73;10.672,69;761;143,72;8.075,25
May;General;Baja;Otros;Público;BTCGCD05 (BT / Beneficio Público con Demanda);2;5,46;426,59;1;0,54;141,40;5;9,68;883,07;57;107,34;8.798,04;2;5,36;458,07;9;12,48;1.178,01;10;18,88;1.664,45;19;53,99;4.601,48;1;1,79;127,49;0;0,00;0,00;8;4,43;552,35
May;General;Baja;Otros;Público;BTCGCD20 (BT / Beneficio Público con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;36;97,52;7.509,13
May;General;Baja;Otros;Público;BTCGCD21 (BT / Bombeo de Agua Comunidades Campesinas);0;0,00;0,00;6;8,37;339,06;3;0,32;14,70;0;0,00;0,00;15;14,96;608,94;15;16,91;686,89;8;4,81;197,84;10;21,89;882,64;0;0,00;0,00;9;14,81;598,78;53;33,06;1.359,42
May;General;Baja;Otros;Público;BTCGCD06 (BT / Bombeo de Agua con Demanda);7;2,96;385,10;0;0,00;0,00;12;13,36;1.190,50;5;29,71;2.662,85;8;12,55;1.105,67;8;22,63;2.335,87;0;0,00;0,00;17;107,18;9.244,34;0;0,00;0,00;1;0,44;37,14;22;14,96;1.179,31
May;General;Baja;Otros;Público;BTCGCD34 (BT / Bombeo de Agua con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;4;1,00;137,25;0;0,00;0,00;1;0,00;33,65;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;17;34,31;3.337,81
May;General;Baja;Otros;Público;BTCGSD14 (BT / Bombeo de Agua para Servicio Público de Agua);0;0,00;0,00;16;20,64;1.357,92;3;1,95;125,67;43;26,94;1.776,61;3;0,79;53,24;11;24,74;1.632,48;0;0,00;0,00;0;0,00;0,00;11;12,84;839,89;17;10,10;667,84;0;0,00;0,00
May;General;Baja;Otros;Público;BTCGCD40 (BT / Bombeo de Agua para Servicio Público de Agua con Demanda Horaria);0;0,00;0,00;5;5,57;358,37;0;0,00;0,00;15;71,86;4.718,56;0;0,00;0,00;0;0,00;0,00;1;4,08;372,72;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;78;640,75;41.207,38
May;General;Baja;Comercial;Público;BTCGSD01 (BT / Comercial);1;0,02;3,43;17;6,02;615,75;192;116,27;11.857,63;53;48,39;5.041,50;15;6,78;695,39;21;11,11;1.121,87;22;14,86;1.516,86;317;68,17;7.208,28;1;1,14;115,78;52;15,41;1.586,02;15;4,15;423,27
May;General;Baja;Comercial;Público;BTCGCD01 (BT / Comercial con Demanda);0;0,00;0,00;0;0,00;0,00;2;0,49;108,83;5;26,38;3.002,20;4;27,12;3.259,51;3;9,87;1.272,38;0;0,00;0,00;2;11,29;1.303,00;0;0,00;0,00;0;0,00;0,00;3;10,15;1.047,17
May;General;Baja;Comercial;Público;BTCGCD31 (BT / Comercial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;3;10,51;992,27
May;General;Baja;Otros;Público;BTCGSD09 (BT / Culto Religioso);0;0,00;0,00;5;0,38;20,39;4;0,11;9,27;1;0,00;1,35;0;0,00;0,00;0;0,00;0,00;2;0,97;47,86;3;0,52;22,79;1;0,29;11,66;1;0,19;7,98;8;0,38;24,44
May;General;Baja;Otros;Público;BTCGCD32 (BT / Culto Religioso con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
