Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Sep;General;Baja;Otros;Público;BTCGSD06 (BT / Abonados Especiales con Demanda);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,01;2,37;0;0;0;0;0;0;0;0;0;0;0;0
Sep;General;Baja;Otros;Público;BTCGSD10 (BT / Abonados Especiales con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sep;Alumbrado Público;Baja;Alumbrado Público;Público;BTAPCD01 (BT / Alumbrado Público);1;1.666,03;123.466,94;1;8.663,23;865.398,93;1;4.194,77;314.636,52;1;14.636,47;1.487.398,90;1;7.449,67;1.523.645,55;1;2.772,59;281.784,77;1;11.045,34;864.273,46;1;4.778,36;537.475,53;1;2.480,35;656.977,94;1;6.725,54;763.617,76;0;0;0
Sep;General;Baja;Otros;Público;BTCGSD03 (BT / Asistencia Social);80;31,71;1.611,85;165;113;6.317,65;115;55,99;3.037,02;68;65,64;6.266,55;115;119,34;6.871,02;70;44,66;2.475,00;325;231,94;13.232,12;59;30,32;1.647,14;40;23,41;1.266,94;126;105,81;5.932,35;0;0;0
Sep;General;Baja;Otros;Público;BTCGCD03 (BT / Asistencia Social con Demanda);2;2,48;234,63;0;0;0;2;3,77;313,61;43;132,61;10.219,85;4;9,1;776,76;5;4,06;400,51;4;20,68;1.593,92;10;23,3;1.984,00;0;0;0;0;0;0;0;0;0
Sep;General;Baja;Otros;Público;NDCGCD01 (BT / Asistencia Social con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sep;General;Baja;Otros;Público;BTCGCD04 (BT / Autoconsumo con Demanda);0;0;0;0;0;0;0;0;0;0;0;0;1;2,76;279,69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sep;General;Baja;Otros;Público;BTCGSD04 (BT / Beneficio Público);519;47,12;2.830,12;858;298,52;16.534,56;833;160,82;8.930,50;436;431,75;41.488,35;846;291,71;16.563,34;339;104,15;5.946,12;786;308,82;17.512,01;311;121,5;6.822,79;186;116,06;6.671,67;997;246,82;13.566,04;0;0;0
Sep;General;Baja;Otros;Público;BTCGCD05 (BT / Beneficio Público con Demanda);2;4,55;370,29;1;0,75;145,01;5;8,64;816,98;57;147,94;11.385,52;2;5,37;505,11;9;14,58;1.378,74;10;19,36;1.635,60;19;63,41;5.214,11;1;0,99;77,33;0;0;0;0;0;0
Sep;General;Baja;Otros;Público;BTCGCD20 (BT / Beneficio Público con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
