Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
ene-25;Alumbrado Público;0;4 - Alumbrado Público;No Público;REFACTAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;Alumbrado Público;0;4 - Alumbrado Público;Público;REFACTAL;0;0;0;0;0;0;0;0.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;481.04
ene-25;Alumbrado Público;Baja;4 - Alumbrado Público;Público;BTAPCD01;1;172.456.219;126161.97;1;853.582.882;952862.58;1;4.221.134;337441.58;1;1.415.554.722;1665772.13;1;856.651.686;1803224.35;1;277.510.903;302089.94;1;1.235.122.588;938546.31;1;421.629.152;556707.87;1;317.346.592;575790.27;1;6757.71;832958.58;1;362.250.472;317431.54
ene-25;General;0;2 -  Comercial;No Público;REFACTCO;0;0;0;0;0;0;0;-29.86;-31238.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;0;2 -  Comercial;Público;REFACTCO;0;0;0;0;0;0;0;8.58;881.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;0;3 - Industrial;No Público;REFACTIN;0;0;0;0;0;0;0;2.5;-9903.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;0;3 - Industrial;Público;REFACTIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;0;5 - Otros;No Público;REFACTOT;0;0;0;0;0;0;0;-5.28;315186.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;0;5 - Otros;Público;REFACTOT;0;0;0;0;0;0;0;-13.63;-910.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;2 -  Comercial;No Público;ATCGCD09;0;0;0;2;1330.06;130382.45;0;0;0;7;4180.25;377310.65;6;418.879.123;419338.92;1;53.426.478;52514.62;0;0;0;0;0;0;0;0;0;1;548;52645.54;0;0;0
ene-25;General;Alta;2 -  Comercial;Público;ATCGCD09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;3 - Industrial;No Público;ATCGCD07;0;0;0;2;645.533;59741.29;0;0;0;35;66.479.512;5466960;26;2.518.072.145;2321760.42;0;0;0;4;4.222.455;381971.24;7;7.538.127;702162.65;0;0;0;2;3562.3;321212.01;0;0;0
ene-25;General;Alta;3 - Industrial;No Público;EATCGCD1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11.528.439;1229238.59;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;3 - Industrial;Público;ATCGCD07;0;0;0;0;0;0;2;4045.63;387641.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;22.307.276;203030.89;0;0;0;0;0;0
ene-25;General;Alta;3 - Industrial;Público;EATCGCD1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;262.631.451;2356117.96
ene-25;General;Alta;5 - Otros;No Público;ATCGCD03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;596.684;783.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;No Público;ATCGCD04;0;0;0;0;0;0;0;0;0;3;585.929.771;310757.92;3;1.444.739.475;852968.2;0;0;0;0;0;0;6;14.341.651;894380.65;1;2331;184910.38;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;No Público;ATCGCD05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;No Público;ATCGCD08;0;0;0;0;0;0;0;0;0;2;1213.92;78389.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;No Público;ATCGCD11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;No Público;ATCGCD12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;No Público;ATCGCD16;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;Público;ATCGCD03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;Público;ATCGCD04;0;0;0;0;0;0;0;0;0;2;314.582.243;166349.25;1;7.092.422;417759.97;0;0;0;0;0;0;0;0;0;1;0;1.41;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;Público;ATCGCD05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;Público;ATCGCD08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;Público;ATCGCD10;0;0;0;2;604.439;51726.67;1;607.03;44863.86;6;3.109.687;193653.41;2;28.622.832;20526.35;0;0;0;0;0;0;0;0;0;1;379.2;27946.05;2;1059.01;78260.68;0;0;0
ene-25;General;Alta;5 - Otros;Público;ATCGCD11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;Público;ATCGCD12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;Público;ATCGCD13;0;0;0;0;0;0;1;2606.85;123467.37;1;643.2;26926.88;1;11728.56;485639.69;0;0;0;6;823.816.394;346349.87;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;Público;ATCGCD14;0;0;0;0;0;0;0;0;0;0;0;0;1;420.069;27989.5;0;0;0;1;742.86;48552.07;0;0;0;0;0;0;0;0;0;0;0;0
ene-25;General;Alta;5 - Otros;Público;ATCGCD15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;249.447;17511.12;0;0;0;0;0;0;0;0;0
