Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC;;
Ene;General;Baja;Otros;Público;BTCGSD06 (BT / Abonados Especiales con Demanda);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,008;2,05;0;0;0;0;0;0;;;;0;0;0;;
Ene;General;Baja;Otros;Público;BTCGSD10 (BT / Abonados Especiales con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;;
Ene;Alumbrado Público;Baja;Alumbrado Público;Público;BTAPCD01 (BT / Alumbrado Público);1;1724,56219;126161,97;1;8535,82882;952862,58;0;0;0;1;14155,54722;1665666,4;1;8566,51686;1803224,35;1;2775,10903;302089,94;1;12351,22588;938546,31;1;4216,29152;556707,87;1;3173,46592;575790,27;1;6757,71;832958,58;1;3584,8125;317431,54;;
Ene;General;Baja;Otros;Público;BTCGSD03 (BT / Asistencia Social);78;30,277;1541,12;164;100,62072;5582,42;0;0;0;70;72,234;6963,14;111;99,48;5638,63;73;42,39912;2327,83;325;222,21228;12689,55;59;32,31758;1787,07;40;24,0163;1308,03;126;98,8199;5504,28;127;55,874;3187,67;;
Ene;General;Baja;Otros;Público;BTCGCD03 (BT / Asistencia Social con Demanda);2;2,63;244,58;0;0;0;0;0;0;43;139,273;10681,84;3;7,884;695,7;5;4,49824;434,42;4;15,36;1240,85;10;23,76102;2049,52;0;0;0;0;0;0;3;2,303;186,33;;
Ene;General;Baja;Otros;Público;NDCGCD01 (BT / Asistencia Social con Demanda Horaria);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;179,54064;13665,74;;
Ene;General;Baja;Otros;Público;BTCGCD04 (BT / Autoconsumo con Demanda);0;0;0;0;0;0;0;0;0;0;0;0;1;1,96;215,69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Ene;General;Baja;Otros;Público;BTCGSD04 (BT / Beneficio Público);520;54,05662;3174,2;859;258,41782;14275,27;0;0;0;436;350,03373;32972,79;854;230,61448;12852,13;343;91,74678;5210,78;784;259,514;14605,09;315;118,2816;6604,82;184;79,30995;4426,56;996;222,48526;12102,59;759;149,27185;8339,3;;
Ene;General;Baja;Otros;Público;BTCGCD05 (BT / Beneficio Público con Demanda);2;4,744;384,51;1;0,67014;67,42;0;0;0;57;116,962;9538,78;2;4,74;371,98;9;12,19702;1179,51;10;15,39894;1468,4;18;59,425;5044,37;1;1,177;95,18;0;0;0;8;3,068;466,94;;
Ene;General;Baja;Otros;Público;BTCGCD20 (BT / Beneficio Público con Demanda Horaria);0;0;0;1;1,80744;156,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;85,08934;6723,28;;
