Mes-Año;Categoria;Nivel Voltaje;Grupo de consumo;Tipo Consumo;Tipo Tarifa;Tarifa SISDAT;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
2025-06;Alumbrado Público;Baja;4 - Alumbrado Público;Público;Alumbrado Público;BTAPCD01;1;1561,34311;130465,58;1;7805,88253;998375,73;1;3897,56972;374367,79;1;13904,16876;1641418,82;1;7726,28273;1874446,58;1;2697,76406;324788,06;1;11191,44324;1005100,45;1;4467,97923;633139,06;1;3486,35466;751915,43;1;5926,419;867719,66;1;3277,4411;307544,25
2025-06;Alumbrado Público;0;4 - Alumbrado Público;No Público;Alumbrado Público / Refacturaciones y Reliquidaciones;REFACTAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;Alumbrado Público;0;4 - Alumbrado Público;Público;Alumbrado Público / Refacturaciones y Reliquidaciones;REFACTAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;460,8
2025-06;General;Alta;2 -  Comercial;No Público;Comercial con Demanda Horaria - AV1;ATCGCD09;0;0;0;2;1199,937;119011,64;0;0;0;7;3966,55;359372,01;6;4307,85349;432512,14;1;502,707;49813,35;0;0;0;0;0;0;0;0;0;1;496;48233,65;0;0;0
2025-06;General;Alta;2 -  Comercial;Público;Comercial con Demanda Horaria - AV1;ATCGCD09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;3 - Industrial;No Público;Industrial con Demanda Horaria Diferenciada - AV1;ATCGCD07;0;0;0;2;728,262;66440,15;0;0;0;36;69464,63013;5718145,46;31;46110,80723;4184052,37;0;0;0;4;4469,736;404074,19;12;20883,748;1895639,9;0;0;0;2;2632,1;244437,79;1;3988,152;353381,79
2025-06;General;Alta;3 - Industrial;No Público;Industrial con Demanda Horaria Diferenciada - AV2;EATCGCD1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25290,887;2343629,94;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;3 - Industrial;Público;Industrial con Demanda Horaria Diferenciada - AV1;ATCGCD07;0;0;0;0;0;0;2;5489,90391;509236,65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2304,318;211949,47;0;0;0;0;0;0
2025-06;General;Alta;3 - Industrial;Público;Industrial con Demanda Horaria Diferenciada - AV2;EATCGCD1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;32730,91839;2869304,66
2025-06;General;Alta;5 - Otros;No Público;Abonados Especiales con Demanda Horaria - AV1;ATCGCD03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,0581;278,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
