Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Ene;General;Baja;Otros;Público;BTCGSD06 (BT / Abonados Especiales con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ene;General;Baja;Otros;Público;BTCGSD10 (BT / Abonados Especiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ene;Alumbrado Público;Baja;Alumbrado Público;Público;BTAPCD01 (BT / Alumbrado Público);1;1.702,84;120.309,86;1;8.776,44;1.003.133,15;1;4.329,31;341.958,56;1;14.011,85;1.780.354,95;1;9.643,55;1.972.584,09;1;2.777,55;299.699,43;1;11.699,56;1.003.885,84;1;4.308,28;537.313,92;1;225,05;621.918,81;1;6.886,89;781.634,21;1;3.219,98;317.382,13
Ene;General;Baja;Otros;Público;BTCGSD03 (BT / Asistencia Social);83;32,11;1.650,36;166;120,57;6.791,67;114;68,97;3.857,07;68;78,39;7.633,46;115;133,51;7.719,46;60;48,38;2.739,51;163;177,82;10.315,82;57;30,84;1.703,50;40;36,66;2.094,41;127;112,28;6.335,77;128;69,35;4.026,98
Ene;General;Baja;Otros;Público;BTCGCD03 (BT / Asistencia Social con Demanda);2;3,41;295,08;0;0,00;0,00;3;3,59;313,72;40;132,46;10.130,79;4;14,02;1.066,82;4;5,00;447,85;4;19,10;1.504,82;10;34,12;2.777,74;0;0,00;0,00;0;0,00;0,00;3;2,25;183,14
Ene;General;Baja;Otros;Público;NDCGCD01 (BT / Asistencia Social con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;51;216,90;15.911,72
Ene;General;Baja;Otros;Público;BTCGCD04 (BT / Autoconsumo con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ene;General;Baja;Otros;Público;BTCGSD04 (BT / Beneficio Público);520;53,10;3.176,65;859;281,49;15.595,17;834;147,17;8.207,36;437;400,78;38.350,82;841;260,51;14.321,03;245;57,32;3.216,92;558;195,71;11.070,51;310;109,46;6.127,92;193;89,26;4.971,16;991;219,97;12.045,50;765;128,52;7.221,96
Ene;General;Baja;Otros;Público;BTCGCD05 (BT / Beneficio Público con Demanda);2;3,91;339,11;0;0,33;131,82;8;8,53;889,87;57;115,25;9.374,10;2;3,06;380,96;7;11,07;1.049,41;10;16,93;1.497,06;19;70,88;5.698,82;1;1,91;138,13;0;0,00;0,00;9;4,80;577,55
Ene;General;Baja;Otros;Público;BTCGCD20 (BT / Beneficio Público con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;37;91,99;7.131,73
